,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
3093,31-50,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
3094,31-50,Male,,,,Office areas,Y Shape,1,na,No distancing,Slight Injury
3095,Unknown,Unknown,Elementary school,5-10yr,,Office areas,Y Shape,1,na,Other,Slight Injury
3096,31-50,Male,Junior high school,5-10yr,,Office areas,Crossing,1,Male,Changing lane to the right,Slight Injury
3097,18-30,Male,Junior high school,Above 10yr,,Office areas,Y Shape,2,Male,Changing lane to the right,Serious Injury
3098,18-30,Male,Junior high school,2-5yr,,Office areas,Y Shape,2,Male,Overtaking,Serious Injury
3099,18-30,Male,Junior high school,Above 10yr,,Other,Y Shape,2,Male,Other,Serious Injury
3100,31-50,Male,Junior high school,2-5yr,No defect,Other,Crossing,1,na,Driving to the left,Slight Injury
3101,31-50,Male,Elementary school,5-10yr,No defect,Residential areas,Crossing,1,Male,Overtaking,Slight Injury
3102,18-30,Male,Elementary school,5-10yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
3103,Over 51,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,Moving Backward,Slight Injury
3104,18-30,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,Male,Other,Slight Injury
3105,31-50,Male,Elementary school,Above 10yr,,Other,No junction,1,Male,No priority to vehicle,Slight Injury
3106,31-50,Male,Junior high school,Below 1yr,, Industrial areas,No junction,1,Female,No priority to pedestrian,Slight Injury
3107,18-30,Male,Junior high school,5-10yr,, Industrial areas,No junction,1,Male,Changing lane to the right,Serious Injury
3108,31-50,Male,Elementary school,1-2yr,No defect, Church areas,Y Shape,1,na,Changing lane to the right,Slight Injury
3109,31-50,Male,,,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
3110,18-30,Male,Junior high school,Above 10yr,,Other,Other,1,Male,Driving to the left,Slight Injury
3111,18-30,Male,High school,2-5yr,No defect,Office areas,Other,1,na,Changing lane to the left,Slight Injury
3112,18-30,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,2,Male,Moving Backward,Slight Injury
3113,18-30,Male,Junior high school,1-2yr,,Residential areas,Y Shape,2,Male,Driving at high speed,Slight Injury
3114,18-30,Male,Above high school,2-5yr,No defect, Industrial areas,Y Shape,1,na,Moving Backward,Slight Injury
3115,18-30,Male,,,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
3116,18-30,Male,Elementary school,2-5yr,No defect,Other,Y Shape,1,Female,Other,Slight Injury
3117,18-30,Male,Junior high school,1-2yr,,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
3118,Unknown,Male,,5-10yr,No defect,Residential areas,Y Shape,1,na,Changing lane to the right,Slight Injury
3119,18-30,Male,Junior high school,Below 1yr,,Office areas,Y Shape,1,Male,Other,Slight Injury
3120,31-50,Male,Junior high school,2-5yr,,Residential areas,Y Shape,1,Female,No distancing,Slight Injury
3121,31-50,Male,Junior high school,5-10yr,,Office areas,Crossing,1,Male,Driving carelessly,Slight Injury
3122,31-50,Male,Junior high school,Above 10yr,, Church areas,Crossing,1,Male,No distancing,Slight Injury
3123,31-50,Male,Elementary school,2-5yr,,Residential areas,Y Shape,1,Female,Moving Backward,Slight Injury
3124,31-50,Male,Elementary school,Above 10yr,,School areas,Y Shape,1,Female,No distancing,Slight Injury
3125,Unknown,Male,Junior high school,1-2yr,, Hospital areas,No junction,1,Male,Moving Backward,Slight Injury
3126,31-50,Male,Junior high school,5-10yr,,Other,No junction,1,na,No priority to pedestrian,Slight Injury
3127,Over 51,Male,Junior high school,2-5yr,,School areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
3128,31-50,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,Female,No distancing,Slight Injury
3129,31-50,Male,Junior high school,2-5yr,, Industrial areas,Y Shape,1,Male,Other,Slight Injury
3130,18-30,Male,Junior high school,2-5yr,No defect, Church areas,Y Shape,1,na,No distancing,Slight Injury
3131,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
3132,Unknown,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Male,Moving Backward,Slight Injury
3133,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
3134,Over 51,Male,,,No defect,Office areas,No junction,1,na,No distancing,Slight Injury
3135,Over 51,Male,,2-5yr,No defect,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
3136,Unknown,Male,Elementary school,5-10yr,No defect,Residential areas,Y Shape,1,Male,Driving carelessly,Slight Injury
3137,Unknown,Female,Junior high school,5-10yr,No defect,Office areas,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
3138,31-50,Male,Junior high school,Above 10yr,,Other,Y Shape,2,Male,Driving carelessly,Slight Injury
3139,31-50,Male,Junior high school,5-10yr,, Industrial areas,Y Shape,2,Male,Changing lane to the left,Slight Injury
3140,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
3141,Unknown,Male,Elementary school,Below 1yr,No defect,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
3142,18-30,Male,Elementary school,5-10yr,,Office areas,Crossing,1,Male,Changing lane to the right,Slight Injury
3143,18-30,Male,Elementary school,1-2yr,No defect,,Crossing,1,na,No distancing,Slight Injury
3144,31-50,Male,Elementary school,5-10yr,,Other,No junction,1,Male,No distancing,Serious Injury
3145,Over 51,Male,Elementary school,5-10yr,,Office areas,Crossing,1,na,Changing lane to the left,Slight Injury
3146,31-50,Male,Elementary school,2-5yr,No defect,Office areas,Y Shape,4,Female,Changing lane to the right,Slight Injury
3147,31-50,Male,Elementary school,5-10yr,,Office areas,Y Shape,4,na,No priority to vehicle,Slight Injury
3148,18-30,Male,,5-10yr,,Other,Y Shape,4,Male,Changing lane to the left,Slight Injury
3149,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,4,Male,No priority to vehicle,Slight Injury
3150,Unknown,Male,Junior high school,Above 10yr,No defect,  Recreational areas,Y Shape,1,na,Moving Backward,Slight Injury
3151,18-30,Male,Elementary school,Below 1yr,No defect, Church areas,Y Shape,1,Male,Turnover,Slight Injury
3152,31-50,Male,Elementary school,5-10yr,No defect,  Recreational areas,No junction,1,na,No distancing,Slight Injury
3153,31-50,Male,Elementary school,5-10yr,No defect,School areas,No junction,1,na,No distancing,Slight Injury
3154,Unknown,Male,Elementary school,2-5yr,No defect, Church areas,No junction,1,Male,No distancing,Slight Injury
3155,31-50,Male,Elementary school,Above 10yr,,Office areas,No junction,1,Female,Changing lane to the left,Slight Injury
3156,31-50,Male,Elementary school,2-5yr,,Residential areas,Crossing,2,na,No priority to vehicle,Slight Injury
3157,18-30,Male,Junior high school,Above 10yr,No defect,Other,Crossing,2,na,Driving at high speed,Slight Injury
3158,18-30,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,4,Male,Overtaking,Slight Injury
3159,18-30,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,4,na,Other,Slight Injury
3160,18-30,Male,Elementary school,5-10yr,No defect, Church areas,Y Shape,4,Male,Changing lane to the left,Slight Injury
3161,18-30,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,4,Female,No priority to pedestrian,Slight Injury
3162,Over 51,Male,Elementary school,1-2yr,No defect,Office areas,No junction,1,na,Changing lane to the left,Slight Injury
3163,Unknown,Male,Elementary school,,,Office areas,No junction,1,Male,No distancing,Slight Injury
3164,31-50,Male,Junior high school,1-2yr,,Other,No junction,1,Male,Moving Backward,Slight Injury
3165,31-50,Unknown,,5-10yr,,Office areas,No junction,1,na,Changing lane to the left,Slight Injury
3166,18-30,Male,Elementary school,1-2yr,No defect,Other,Other,1,Male,Other,Slight Injury
3167,31-50,Male,Junior high school,5-10yr,No defect, Industrial areas,Other,1,na,No distancing,Slight Injury
3168,Over 51,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,1,Male,Moving Backward,Slight Injury
3169,31-50,Male,Junior high school,2-5yr,No defect,Other,Crossing,1,Male,No distancing,Slight Injury
3170,31-50,Male,Junior high school,5-10yr,,Other,Crossing,1,Male,Changing lane to the left,Slight Injury
3171,18-30,Male,Junior high school,Below 1yr,No defect,Other,Crossing,3,na,Changing lane to the left,Slight Injury
3172,18-30,Male,High school,Below 1yr,,Other,Crossing,3,Male,No priority to pedestrian,Slight Injury
3173,18-30,Male,Junior high school,,,Other,Crossing,3,Female,Changing lane to the left,Slight Injury
3174,Unknown,Male,Junior high school,Below 1yr,No defect,Residential areas,Crossing,3,Male,Driving carelessly,Slight Injury
3175,Over 51,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,1,Male,Driving carelessly,Slight Injury
3176,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,1,na,No priority to pedestrian,Serious Injury
3177,31-50,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,Female,Getting off the vehicle improperly,Slight Injury
3178,31-50,Male,Elementary school,5-10yr,No defect,Other,Y Shape,1,na,No distancing,Serious Injury
3179,Over 51,Male,,5-10yr,No defect,Office areas,Crossing,1,Male,Changing lane to the left,Slight Injury
3180,18-30,Male,Junior high school,5-10yr,,Office areas,Crossing,1,na,No priority to vehicle,Slight Injury
3181,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,No distancing,Slight Injury
3182,Unknown,Female,Illiterate,2-5yr,No defect,Other,No junction,1,na,No priority to pedestrian,Slight Injury
3183,18-30,Male,Junior high school,5-10yr,,Residential areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
3184,18-30,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,1,Female,No priority to vehicle,Slight Injury
3185,Under 18,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,na,Driving carelessly,Slight Injury
3186,31-50,Male,Elementary school,2-5yr,No defect,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
3187,18-30,Male,Elementary school,2-5yr,,Other,No junction,1,Male,Changing lane to the left,Slight Injury
3188,31-50,Male,Elementary school,5-10yr,,Other,Crossing,1,Male,Moving Backward,Slight Injury
3189,Unknown,Male,Junior high school,5-10yr,,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
3190,31-50,Male,,,No defect,Office areas,Y Shape,1,Male,Driving to the left,Slight Injury
3191,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Crossing,1,na,Driving to the left,Slight Injury
3192,Over 51,Male,Junior high school,Above 10yr,No defect,Other,Crossing,1,Male,No priority to pedestrian,Slight Injury
3193,31-50,Male,Junior high school,Above 10yr,No defect, Church areas,Crossing,2,Female,Changing lane to the left,Slight Injury
3194,18-30,Male,Junior high school,unknown,No defect, Industrial areas,Crossing,2,Male,Changing lane to the right,Slight Injury
3195,18-30,Male,Junior high school,5-10yr,,Other,Crossing,2,na,Driving carelessly,Slight Injury
3196,Over 51,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,na,No distancing,Serious Injury
3197,18-30,Male,Elementary school,5-10yr,,Office areas,Y Shape,1,Male,Getting off the vehicle improperly,Serious Injury
3198,18-30,Male,Junior high school,2-5yr,No defect,Other,Crossing,2,Male,Driving under the influence of drugs,Slight Injury
3199,18-30,Male,High school,5-10yr,No defect,  Recreational areas,Crossing,2,Female,Changing lane to the right,Slight Injury
3200,31-50,Male,Junior high school,Above 10yr,No defect,Other,Crossing,1,Male,Driving carelessly,Slight Injury
3201,Over 51,Male,Junior high school,2-5yr,No defect, Church areas,Crossing,1,na,Moving Backward,Slight Injury
3202,31-50,Male,Elementary school,2-5yr,,Residential areas,Crossing,3,Male,Turnover,Slight Injury
3203,31-50,Male,High school,Above 10yr,No defect,Office areas,Crossing,3,Male,Changing lane to the right,Slight Injury
3204,31-50,Male,Elementary school,1-2yr,No defect,Other,Crossing,3,Male,Driving carelessly,Slight Injury
3205,18-30,Male,Junior high school,Above 10yr,,Office areas,Crossing,3,Male,No priority to vehicle,Slight Injury
3206,Over 51,Male,,,,Office areas,Y Shape,1,na,Moving Backward,Slight Injury
3207,18-30,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Female,Changing lane to the left,Slight Injury
3208,31-50,Male,Above high school,5-10yr,No defect,Residential areas,Crossing,1,Female,Moving Backward,Slight Injury
3209,Over 51,Male,Junior high school,5-10yr,No defect,  Recreational areas,Crossing,1,Male,Overtaking,Slight Injury
3210,Unknown,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,1,na,Changing lane to the left,Slight Injury
3211,Over 51,Male,Junior high school,1-2yr,No defect,Other,Crossing,1,Male,Changing lane to the right,Slight Injury
3212,Unknown,Male,Junior high school,2-5yr,No defect,Other,Crossing,1,Female,Overtaking,Slight Injury
3213,18-30,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,1,Female,Overloading,Slight Injury
3214,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,Y Shape,1,Female,Other,Slight Injury
3215,31-50,Male,Junior high school,1-2yr,No defect,School areas,Y Shape,1,na,No priority to vehicle,Slight Injury
3216,31-50,Male,Above high school,5-10yr,No defect, Church areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
3217,18-30,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,na,Moving Backward,Slight Injury
3218,31-50,Male,Elementary school,Below 1yr,,Other,Y Shape,1,na,Changing lane to the left,Slight Injury
3219,31-50,Male,,,,Office areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
3220,Unknown,Female,Junior high school,Above 10yr,,Office areas,Y Shape,1,Male,No distancing,Slight Injury
3221,18-30,Male,Junior high school,,No defect,Other,No junction,1,Female,No priority to vehicle,Slight Injury
3222,Unknown,Male,Junior high school,1-2yr,No defect, Hospital areas,No junction,1,Male,No distancing,Slight Injury
3223,18-30,Male,Junior high school,2-5yr,,Other,No junction,1,Female,No distancing,Slight Injury
3224,Unknown,Male,,unknown,,Other,No junction,1,Female,Moving Backward,Slight Injury
3225,Unknown,Male,Junior high school,Above 10yr,,Other,Crossing,1,Female,Changing lane to the right,Slight Injury
3226,31-50,Male,Junior high school,2-5yr,,Other,Crossing,1,Male,No priority to pedestrian,Slight Injury
3227,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Moving Backward,Slight Injury
3228,31-50,Male,Junior high school,2-5yr,No defect, Hospital areas,Crossing,1,Female,Getting off the vehicle improperly,Slight Injury
3229,31-50,Male,Junior high school,1-2yr,No defect,Other,Crossing,1,Male,Overtaking,Slight Injury
3230,Over 51,Male,Junior high school,5-10yr,No defect,Other,No junction,1,na,Overloading,Slight Injury
3231,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,Changing lane to the right,Slight Injury
3232,31-50,Male,Elementary school,5-10yr,,Office areas,No junction,1,na,Improper parking,Slight Injury
3233,Over 51,Male,Above high school,5-10yr,,Residential areas,Crossing,1,Male,Other,Slight Injury
3234,Unknown,Male,Junior high school,2-5yr,No defect,Other,Crossing,1,na,Changing lane to the left,Slight Injury
3235,Unknown,Female,Junior high school,2-5yr,,Residential areas,Crossing,1,Male,Changing lane to the right,Slight Injury
3236,18-30,Male,Junior high school,2-5yr,,Other,No junction,1,na,No priority to pedestrian,Serious Injury
3237,31-50,Male,Junior high school,5-10yr,,Residential areas,Y Shape,1,Male,Overspeed,Slight Injury
3238,Unknown,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,na,Changing lane to the left,Slight Injury
3239,31-50,Male,Junior high school,2-5yr,,Office areas,Crossing,1,Male,No priority to vehicle,Slight Injury
3240,31-50,Male,High school,2-5yr,,Office areas,No junction,1,Female,Changing lane to the right,Slight Injury
3241,31-50,Male,,,,  Recreational areas,No junction,1,Male,No distancing,Slight Injury
3242,Over 51,Male,Junior high school,1-2yr,,Other,No junction,1,na,No priority to pedestrian,Serious Injury
3243,31-50,Male,Junior high school,Below 1yr,,Other,Crossing,1,Female,No distancing,Slight Injury
3244,Over 51,Male,High school,1-2yr,,Other,Crossing,1,na,No priority to vehicle,Slight Injury
3245,31-50,Male,Above high school,1-2yr,,Other,Y Shape,1,na,Other,Slight Injury
